City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
165,Jinchang,CN,38.4953,102.1739,53.06,28,3,4.85,clear sky
166,Maceio,BR,-9.6658,-35.7353,80.04,83,20,6.91,few clouds
167,Pangnirtung,CA,66.1451,-65.7125,27.52,94,92,6.31,overcast clouds
168,Salalah,OM,17.0151,54.0924,75.29,73,20,4.61,few clouds
169,Moussoro,TD,13.6408,16.4901,82.06,14,72,9.66,broken clouds
170,Arlit,NE,18.7369,7.3853,79.65,14,9,8.48,clear sky
171,Ranfurly,NZ,-45.1333,170.1,56.64,74,99,4.41,overcast clouds
172,Egvekinot,RU,66.3167,-179.1667,-1.14,96,95,1.21,overcast clouds
173,Charlestown,AU,-32.95,151.6667,92.68,41,72,5.01,broken clouds
174,Punto Fijo,VE,11.6956,-70.1996,81.61,80,95,20.96,overcast clouds
175,Tura,IN,25.5198,90.2201,79.93,63,2,2.75,clear sky
176,Poso,ID,-1.3959,120.7524,87.49,63,85,5.91,overcast clouds
177,Kharp,RU,66.8014,65.8081,16.25,86,100,10.76,overcast clouds
178,Monze,ZM,-16.2833,27.4833,64.02,67,0,7.14,clear sky
179,Tiksi,RU,71.6872,128.8694,12.7,94,100,5.1,overcast clouds
180,Ilebo,CD,-4.3167,20.5833,69.17,100,100,0.87,light rain
181,Turbat,PK,26.0023,63.044,82.17,32,0,1.9,clear sky
182,Esperance,AU,-33.8667,121.9,58.84,60,87,10.42,overcast clouds
183,Burgersdorp,ZA,-30.9977,26.3286,56.55,93,93,7.58,light rain
184,Souillac,MU,-20.5167,57.5167,74.35,88,40,13.8,scattered clouds
185,Buchanan,LR,5.8808,-10.0467,75.16,93,100,3.27,moderate rain
186,Sitka,US,57.0531,-135.33,39.09,81,40,12.66,scattered clouds
187,Henties Bay,NA,-22.116,14.2845,58.86,94,5,6.85,clear sky
188,Ruteng,ID,-8.6136,120.4721,76.51,65,86,0.49,overcast clouds
189,Bardiyah,LY,31.7561,25.0865,70.23,84,100,7.74,overcast clouds
190,Mahebourg,MU,-20.4081,57.7,74.25,88,40,13.8,scattered clouds
191,Lavrentiya,RU,65.5833,-171.0,17.46,88,100,8.68,overcast clouds
192,Faya,SA,18.3851,42.4509,55.51,34,1,3.4,clear sky
193,Port Elizabeth,ZA,-33.918,25.5701,64.69,94,0,10.36,clear sky
194,Tateyama,JP,34.9833,139.8667,71.02,47,54,21.18,broken clouds
195,Katsuura,JP,35.1333,140.3,71.11,51,88,22.1,overcast clouds
196,Vila,PT,42.0304,-8.1588,52.93,95,100,4.21,light rain
197,Lodwar,KE,3.1191,35.5973,82.65,43,51,12.77,broken clouds
198,Gillette,US,44.2911,-105.5022,46.24,68,1,1.99,clear sky
199,Cherskiy,RU,68.75,161.3,-10.68,90,59,2.71,broken clouds
200,Ancud,CL,-41.8697,-73.8203,47.73,90,100,3.47,overcast clouds
201,High Prairie,CA,55.4334,-116.4858,36.7,57,50,5.35,scattered clouds
202,Dunedin,NZ,-45.8742,170.5036,58.19,75,79,5.23,broken clouds
203,Lesosibirsk,RU,58.2358,92.4828,33.78,49,100,9.42,overcast clouds
204,Rabo De Peixe,PT,37.8,-25.5833,71.11,88,75,24.16,broken clouds
205,Khatanga,RU,71.9667,102.5,-15.03,100,90,6.73,overcast clouds
206,Victoria,HK,22.2855,114.1577,82.96,70,35,5.01,scattered clouds
207,Lethbridge,CA,49.7,-112.8186,50.92,75,86,8.46,overcast clouds
208,Petropavlovka,RU,50.6114,105.3196,36.7,48,93,0.92,overcast clouds
209,Lorengau,PG,-2.0226,147.2712,86.16,64,100,5.46,overcast clouds
210,Bilma,NE,18.6853,12.9164,76.35,20,4,1.03,clear sky
211,Afua,BR,-0.1567,-50.3867,76.41,87,93,4.56,overcast clouds
212,Upernavik,GL,72.7868,-56.1549,21.43,56,100,4.25,overcast clouds
213,Novikovo,RU,51.1537,37.8879,39.27,94,60,5.75,broken clouds
214,Cabo San Lucas,MX,22.8909,-109.9124,79.52,70,0,4.9,clear sky
215,Russell,US,32.3502,-85.1999,60.96,90,1,0.0,clear sky
216,Tuktoyaktuk,CA,69.4541,-133.0374,26.6,100,90,4.61,light snow
217,Kavieng,PG,-2.5744,150.7967,84.67,70,85,4.72,light rain
218,Karpathos,GR,35.507,27.2132,66.16,77,7,14.97,clear sky
219,Haimen,CN,23.1935,116.6142,78.69,70,95,14.56,overcast clouds
220,Georgetown,MY,5.4112,100.3354,88.9,73,20,1.01,few clouds
221,Hambantota,LK,6.1241,81.1185,80.94,94,75,2.3,broken clouds
222,Nuuk,GL,64.1835,-51.7216,29.01,100,90,3.44,light snow
223,Sambava,MG,-14.2667,50.1667,76.06,76,81,5.91,broken clouds
224,Darnah,LY,32.767,22.6367,67.77,87,45,6.15,scattered clouds
225,Loyga,RU,61.0784,44.6075,23.38,85,99,5.73,overcast clouds
226,Taunggyi,MM,20.7833,97.0333,73.76,70,18,2.26,few clouds
227,Orange Cove,US,36.6244,-119.3137,67.66,61,0,2.84,clear sky
228,Margate,GB,51.3813,1.3862,58.96,80,80,5.01,broken clouds
229,Butler,US,39.4501,-84.5666,57.34,96,90,5.75,overcast clouds
230,Prachuap Khiri Khan,TH,12.2167,99.75,80.91,70,58,5.86,broken clouds
231,Port-Gentil,GA,-0.7193,8.7815,77.72,87,61,8.46,broken clouds
232,Carbonia,IT,39.1672,8.5222,59.0,89,31,2.46,scattered clouds
233,Leh,IN,34.1667,77.5833,28.35,48,0,2.62,clear sky
234,Tasiilaq,GL,65.6145,-37.6368,28.56,68,6,7.47,clear sky
235,Chokurdakh,RU,70.6333,147.9167,-1.77,92,100,4.0,overcast clouds
236,Lumby,CA,50.2498,-118.969,43.05,97,100,0.83,light rain
237,Horki,BY,54.2861,30.9842,49.24,97,100,6.51,overcast clouds
238,Chama,CH,47.1821,8.4636,43.77,93,90,0.0,fog
239,Betsiamites,CA,48.9413,-68.646,42.69,67,0,5.7,clear sky
240,Escanaba,US,45.7453,-87.0646,53.92,83,1,8.05,clear sky
241,Guerrero Negro,MX,27.9769,-114.0611,68.7,74,0,7.76,clear sky
242,Yoichi,JP,43.2039,140.7703,52.23,66,100,15.39,overcast clouds
243,Fort Nelson,CA,58.8053,-122.7002,29.79,100,75,3.44,broken clouds
244,Half Moon Bay,US,37.4636,-122.4286,68.88,80,1,6.91,clear sky
245,San Patricio,US,28.017,-97.5169,74.84,31,0,7.99,clear sky
246,Leningradskiy,RU,69.3833,178.4167,-0.72,90,97,5.44,overcast clouds
247,Morondava,MG,-20.2833,44.2833,72.3,56,37,10.89,scattered clouds
248,Valdez,EC,1.2492,-78.9831,77.43,87,100,10.31,light rain
249,Prince Rupert,CA,54.3161,-130.3201,42.49,81,68,8.05,broken clouds
250,Alto Parana,BR,-23.1289,-52.3189,73.76,85,29,13.82,scattered clouds
251,Saryozek,KZ,44.3583,77.9753,47.08,66,88,7.0,overcast clouds
252,Linxia,CN,35.6003,103.2064,52.18,44,0,3.49,clear sky
253,Havelock,US,34.8791,-76.9013,71.94,91,90,3.0,overcast clouds
254,Qujing,CN,25.4833,103.7833,60.53,83,100,5.88,overcast clouds
255,Cervo,ES,43.6702,-7.4101,57.2,83,100,11.68,overcast clouds
256,Saint-Leu,RE,-21.15,55.2833,72.43,98,74,15.03,moderate rain
257,Kalmunai,LK,7.4167,81.8167,84.25,69,72,3.47,broken clouds
258,Lynchburg,US,37.4138,-79.1423,59.47,95,90,8.05,light rain
259,Provideniya,RU,64.3833,-173.3,15.91,67,90,13.42,overcast clouds
