City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
136,Thinadhoo,MV,2021-10-26 01:42:10,0.5333,72.9333,83.77,70,100,15.79
137,Pacific Grove,US,2021-10-26 01:42:11,36.6177,-121.9166,60.48,84,0,3.0
138,Kiruna,SE,2021-10-26 01:42:11,67.8557,20.2251,22.12,100,90,0.0
139,Victoria,HK,2021-10-26 01:42:11,22.2855,114.1577,78.24,74,100,1.01
140,Manokwari,ID,2021-10-26 01:42:12,-0.8667,134.0833,84.78,66,3,9.51
141,Kiama,AU,2021-10-26 01:41:16,-34.6833,150.8667,73.99,57,28,8.23
142,Shimonoseki,JP,2021-10-26 01:42:12,33.95,130.95,73.29,59,20,3.44
143,Hithadhoo,MV,2021-10-26 01:42:13,-0.6,73.0833,82.92,68,100,15.39
144,Itoman,JP,2021-10-26 01:40:00,26.1247,127.6694,78.82,53,20,14.97
145,Tiksi,RU,2021-10-26 01:37:44,71.6872,128.8694,2.59,95,99,4.36
146,Nago,JP,2021-10-26 01:42:13,26.5881,127.9761,78.87,53,20,13.49
147,Nioaque,BR,2021-10-26 01:42:14,-21.1353,-55.83,68.76,61,98,3.69
148,Bilibino,RU,2021-10-26 01:42:15,68.0546,166.4372,-9.38,94,92,1.14
149,Lagoa,PT,2021-10-26 01:42:15,39.05,-27.9833,67.03,73,0,11.81
150,Bambanglipuro,ID,2021-10-26 01:42:16,-7.95,110.2833,82.26,64,100,7.72
151,Fort Nelson,CA,2021-10-26 01:41:22,58.8053,-122.7002,29.79,100,90,0.0
152,Khatanga,RU,2021-10-26 01:42:17,71.9667,102.5,4.17,96,100,5.37
153,Dikson,RU,2021-10-26 01:42:17,73.5069,80.5464,13.55,84,100,15.39
154,Tabory,RU,2021-10-26 01:42:17,58.5198,64.5495,25.72,83,20,10.83
155,Terrace,CA,2021-10-26 01:42:18,54.5163,-128.6035,48.11,93,90,3.44
156,Kollo,NE,2021-10-26 01:42:18,13.3043,2.339,82.83,26,63,4.47
157,Vila Velha,BR,2021-10-26 01:42:19,-20.3297,-40.2925,73.35,83,90,8.05
158,Dwarka,IN,2021-10-26 01:42:19,22.2394,68.9678,77.54,58,0,5.66
159,Zhangjiakou,CN,2021-10-26 01:42:21,40.81,114.8794,49.66,32,0,11.27
160,Port Blair,IN,2021-10-26 01:42:21,11.6667,92.75,82.89,77,86,8.86
161,Marienburg,PL,2021-10-26 01:38:34,54.0359,19.0266,45.05,78,100,7.83
162,Asau,RO,2021-10-26 01:42:22,46.4333,26.4,33.28,65,0,2.68
163,Kysyl-Syr,RU,2021-10-26 01:42:22,63.8986,122.7617,31.46,92,96,6.11
164,Isangel,VU,2021-10-26 01:42:23,-19.55,169.2667,84.31,61,41,12.66
165,Saint George,US,2021-10-26 01:42:23,37.1041,-113.5841,73.99,31,1,1.99
166,San Quintin,MX,2021-10-26 01:42:23,30.4833,-115.95,65.23,74,71,11.16
167,Waipawa,NZ,2021-10-26 01:42:24,-41.4122,175.5153,65.03,58,100,6.73
168,Evensk,RU,2021-10-26 01:42:24,61.95,159.2333,19.13,76,1,3.78
169,La Rioja,ES,2021-10-26 01:42:24,42.25,-2.5,43.48,91,0,5.1
170,Puerto Madero,MX,2021-10-26 01:42:25,14.7208,-92.4215,79.0,100,75,0.0
171,Provideniya,RU,2021-10-26 01:42:25,64.3833,-173.3,23.11,58,75,8.95
172,Sainte-Anne-Des-Monts,CA,2021-10-26 01:42:26,49.124,-66.4924,44.47,87,36,10.36
173,Dunedin,NZ,2021-10-26 01:42:26,-45.8742,170.5036,59.81,71,96,5.99
174,Allonnes,FR,2021-10-26 01:42:27,47.9674,0.1581,52.79,100,90,4.61
175,Kogon,UZ,2021-10-26 01:42:27,39.7228,64.5517,46.04,57,0,4.61
176,Krasnoshchekovo,RU,2021-10-26 01:42:28,51.6708,82.7289,42.75,64,100,4.0
177,Castro,BR,2021-10-26 01:42:28,-24.7911,-50.0119,56.19,95,16,2.86
178,Nyurba,RU,2021-10-26 01:42:28,63.2842,118.3319,31.98,91,100,7.49
179,Tazovskiy,RU,2021-10-26 01:42:29,67.4667,78.7,13.87,93,56,7.96
180,Thompson,CA,2021-10-26 01:42:29,55.7435,-97.8558,35.76,80,20,3.44
181,Moron,AR,2021-10-26 01:42:30,-34.6534,-58.6198,71.96,46,3,5.55
182,Saskylakh,RU,2021-10-26 01:42:30,71.9167,114.0833,-0.27,97,100,2.24
183,Dorfen,DE,2021-10-26 01:42:30,48.2667,12.15,44.85,87,83,5.32
184,Sinnamary,GF,2021-10-26 01:42:31,5.3833,-52.95,77.4,91,95,9.78
185,Xining,CN,2021-10-26 01:42:31,36.6167,101.7667,35.91,86,100,4.05
186,Fukue,JP,2021-10-26 01:42:32,32.6881,128.8419,70.16,56,20,6.91
187,Coihaique,CL,2021-10-26 01:42:32,-45.5752,-72.0662,48.15,81,100,8.05
188,Ribeira Grande,PT,2021-10-26 01:42:33,38.5167,-28.7,68.99,75,24,21.09
189,Agua Verde,MX,2021-10-26 01:42:33,22.9,-106.05,85.12,81,57,7.31
190,Buala,SB,2021-10-26 01:42:34,-8.145,159.5921,86.34,65,96,9.55
191,Raga,SS,2021-10-26 01:42:34,8.4596,25.678,73.9,81,100,3.24
192,Ballina,AU,2021-10-26 01:42:34,-28.8667,153.5667,75.38,75,75,16.11
193,Airai,TL,2021-10-26 01:38:37,-8.9266,125.4092,79.2,30,79,2.37
194,Mantua,IT,2021-10-26 01:42:35,45.1667,10.7833,51.71,63,77,2.59
195,Dubrovnik,HR,2021-10-26 01:42:36,42.6481,18.0922,56.84,54,0,5.75
196,Mackay,AU,2021-10-26 01:42:36,-21.15,149.2,84.18,65,100,12.66
197,Ahipara,NZ,2021-10-26 01:39:46,-35.1667,173.1667,68.97,68,100,6.91
198,Werda,BW,2021-10-26 01:42:36,-25.2667,23.2833,63.79,73,0,11.59
199,Lac Du Bonnet,CA,2021-10-26 01:42:37,50.2536,-96.0612,40.26,68,92,11.18
200,San Ramon,US,2021-10-26 01:39:37,37.7799,-121.978,59.07,79,1,5.01
201,Luganville,VU,2021-10-26 01:42:38,-15.5333,167.1667,83.57,70,45,10.09
202,Malanje,AO,2021-10-26 01:42:38,-9.5402,16.341,64.51,93,99,1.14
203,Iqaluit,CA,2021-10-26 01:42:17,63.7506,-68.5145,31.73,86,90,8.99
